id,date,amount,category
124,2023-07-13,445.52,Groceries
125,2023-02-06,272.37,Electronics
126,2023-09-24,315.87,Home & Garden
127,2023-03-28,485.39,Groceries
128,2023-02-13,211.78,Clothing
129,2023-12-27,232.1,Home & Garden
130,2023-01-12,171.93,Groceries
131,2023-09-16,136.25,Groceries
132,2023-11-04,145.34,Electronics
133,2023-03-22,273.24,Clothing
134,2023-02-02,165.58,Books
135,2023-07-02,237.28,Books
136,2023-05-09,466.99,Home & Garden
137,2023-10-22,408.17,Groceries
138,2023-10-03,451.12,Books
139,2023-06-24,318.17,Electronics
140,2023-02-12,242.4,Groceries
141,2023-07-04,428.66,Electronics
142,2023-03-19,186.41,Electronics
143,2023-10-14,355.31,Electronics
144,2023-10-08,130.99,Home & Garden
145,2023-05-06,315.77,Home & Garden
146,2023-09-16,228.19,Home & Garden
147,2023-01-04,218.74,Home & Garden
148,2023-04-05,257.81,Clothing
149,2023-08-15,470.58,Groceries
150,2023-12-30,85.63,Home & Garden
151,2023-09-27,189.48,Home & Garden
152,2023-10-24,133.38,Groceries
153,2023-11-25,327.05,Groceries
154,2023-01-20,208.41,Home & Garden
155,2023-04-06,213.77,Clothing
156,2023-11-25,258.2,Groceries
157,2023-09-06,154.89,Electronics
158,2023-06-30,474.29,Home & Garden
159,2023-11-20,465.37,Home & Garden
160,2023-11-14,78.29,Groceries
161,2023-09-28,278.01,Clothing
162,2023-12-19,129.05,Groceries
163,2023-09-18,497.99,Clothing
164,2023-08-26,378.79,Groceries
165,2023-05-20,475.72,Groceries
166,2023-03-28,435.29,Home & Garden
167,2023-04-20,339.52,Electronics
168,2023-11-28,479.19,Clothing
169,2023-07-04,244.5,Groceries
170,2023-01-17,229.14,Electronics
171,2023-06-02,118.48,Home & Garden
172,2023-05-30,406.97,Books
173,2023-04-21,466.78,Home & Garden
174,2023-01-26,383.09,Books
175,2023-04-28,185.84,Electronics
176,2023-03-25,289.18,Books
177,2023-06-11,194.88,Electronics
178,2023-12-27,134.27,Home & Garden
179,2023-08-17,346.38,Clothing
180,2023-09-09,375.96,Books
181,2023-05-02,343.59,Groceries
182,2023-11-23,63.81,Electronics
183,2023-10-15,462.17,Groceries
184,2023-01-14,213.0,Groceries
185,2023-11-24,326.53,Groceries
186,2023-07-04,416.93,Books
187,2023-06-02,299.96,Books
188,2023-03-21,432.19,Clothing
189,2023-02-11,233.05,Home & Garden
190,2023-10-02,209.85,Home & Garden
191,2023-02-10,323.98,Electronics
192,2023-07-27,203.68,Electronics
193,2023-09-25,140.98,Groceries
194,2023-06-16,184.98,Books
195,2023-04-22,213.89,Groceries
196,2023-12-16,244.69,Books
197,2023-05-10,197.02,Home & Garden
198,2023-08-12,127.71,Electronics
199,2023-10-28,331.06,Clothing
200,2023-08-05,319.42,Books
201,2023-01-25,131.02,Electronics
202,2023-03-09,211.07,Home & Garden
203,2023-09-17,367.62,Home & Garden
204,2023-08-23,420.1,Groceries
205,2023-07-24,226.26,Groceries
206,2023-10-19,278.84,Home & Garden
207,2023-08-03,228.53,Electronics
208,2023-07-09,470.53,Clothing
209,2023-07-17,449.23,Groceries
210,2023-08-04,480.41,Home & Garden
211,2023-02-13,183.48,Home & Garden
212,2023-02-02,148.6,Electronics
213,2023-01-12,488.86,Electronics
214,2023-04-15,343.99,Books
215,2023-08-01,167.95,Books
216,2023-05-19,57.64,Groceries
217,2023-07-02,251.91,Groceries
218,2023-05-06,486.02,Clothing
219,2023-06-06,150.53,Electronics
220,2023-04-22,237.75,Home & Garden
221,2023-09-16,224.61,Groceries
222,2023-01-28,298.29,Clothing
223,2023-08-06,323.93,Books
224,2023-06-01,390.3,Groceries
225,2023-11-06,457.45,Books
226,2023-11-04,256.77,Groceries
227,2023-06-24,487.48,Books
228,2023-05-29,333.24,Books
229,2023-01-30,54.02,Groceries
230,2023-03-09,331.89,Electronics
231,2023-02-05,192.81,Clothing
232,2023-10-23,330.77,Groceries
233,2023-03-15,261.63,Clothing
234,2023-10-25,452.3,Home & Garden
235,2023-10-30,242.2,Clothing
236,2023-08-07,184.64,Books
237,2023-12-31,66.28,Home & Garden
238,2023-09-17,61.86,Home & Garden
239,2023-10-15,446.66,Books
240,2023-09-23,302.25,Electronics
241,2023-01-28,247.89,Clothing
242,2023-07-19,390.63,Home & Garden
243,2023-03-03,369.91,Electronics
244,2023-12-08,441.66,Electronics
245,2023-12-20,444.5,Electronics
246,2023-02-14,230.18,Groceries
247,2023-10-18,319.41,Home & Garden
248,2023-03-30,466.08,Clothing
249,2023-02-03,68.82,Home & Garden
250,2023-05-14,85.56,Groceries
251,2023-08-21,352.39,Electronics
252,2023-09-13,361.19,Home & Garden
253,2023-02-06,181.23,Clothing
254,2023-09-14,286.49,Electronics
255,2023-10-18,50.38,Clothing
256,2023-07-17,176.76,Clothing
257,2023-09-12,320.61,Home & Garden
258,2023-03-22,219.55,Electronics
259,2023-05-17,270.37,Clothing
260,2023-07-09,470.06,Home & Garden
261,2023-05-10,75.18,Groceries
262,2023-07-29,278.41,Clothing
263,2023-10-19,311.9,Home & Garden
264,2023-12-14,347.58,Books
265,2023-06-18,385.6,Home & Garden
266,2023-10-20,116.42,Groceries
267,2023-06-26,465.35,Groceries
268,2023-01-26,236.26,Electronics
269,2023-11-20,270.04,Electronics
270,2023-12-26,347.87,Groceries
271,2023-10-19,288.74,Groceries
272,2023-04-25,240.05,Electronics
273,2023-10-14,352.7,Groceries
274,2023-01-30,351.74,Home & Garden
275,2023-08-30,150.19,Books
276,2023-10-17,241.61,Clothing
277,2023-05-27,58.69,Groceries
278,2023-10-01,255.85,Home & Garden
279,2023-08-10,450.87,Groceries
280,2023-12-07,338.72,Clothing
281,2023-01-03,451.91,Home & Garden
282,2023-03-11,53.27,Groceries
283,2023-12-24,398.34,Groceries
284,2023-02-14,403.8,Clothing
285,2023-09-11,226.86,Groceries
286,2023-11-19,214.05,Home & Garden
287,2023-04-22,463.37,Electronics
288,2023-04-02,292.68,Electronics
289,2023-12-08,254.91,Books
290,2023-02-09,200.25,Home & Garden
291,2023-05-31,340.54,Electronics
292,2023-05-26,403.24,Groceries
293,2023-07-18,458.06,Books
294,2023-10-02,78.37,Clothing
295,2023-12-15,396.8,Home & Garden
296,2023-02-13,393.35,Books
297,2023-03-25,312.01,Home & Garden
298,2023-10-25,155.41,Home & Garden
299,2023-04-04,358.71,Electronics
300,2023-06-24,217.56,Groceries
301,2023-07-21,183.93,Clothing
302,2023-12-12,215.0,Clothing
303,2023-11-26,224.19,Groceries
304,2023-01-29,370.74,Groceries
305,2023-07-29,434.19,Groceries
306,2023-04-16,200.09,Groceries
307,2023-03-05,111.16,Home & Garden
308,2023-01-17,314.26,Groceries
309,2023-04-17,269.47,Home & Garden
310,2023-06-14,306.18,Groceries
311,2023-04-05,129.85,Electronics
312,2023-01-25,245.72,Clothing
313,2023-04-27,409.51,Home & Garden
314,2023-07-11,199.32,Home & Garden
315,2023-07-15,255.98,Electronics
316,2023-11-04,128.8,Home & Garden
317,2023-05-17,437.54,Books
318,2023-12-14,296.2,Books
319,2023-04-04,195.49,Groceries
320,2023-08-27,138.77,Groceries
321,2023-03-29,275.63,Books
322,2023-06-10,62.08,Clothing
323,2023-05-28,290.0,Electronics
324,2023-03-14,349.79,Home & Garden
325,2023-03-29,93.23,Books
326,2023-01-14,185.48,Groceries
327,2023-11-11,391.93,Books
328,2023-03-23,245.95,Books
329,2023-05-01,325.86,Home & Garden
330,2023-11-17,454.93,Home & Garden
331,2023-07-23,149.96,Books
332,2023-08-09,262.51,Home & Garden
333,2023-10-09,164.19,Clothing
334,2023-10-16,81.93,Clothing
335,2023-09-28,498.63,Groceries
336,2023-10-12,285.92,Clothing
337,2023-10-04,454.81,Home & Garden
338,2023-11-21,280.98,Books
339,2023-01-23,407.7,Electronics
340,2023-08-16,156.01,Electronics
341,2023-03-25,257.02,Books
342,2023-05-16,238.7,Home & Garden
343,2023-03-03,65.89,Groceries
344,2023-05-22,420.74,Groceries
345,2023-01-06,68.43,Books
346,2023-09-14,149.5,Clothing
347,2023-05-17,339.6,Electronics
348,2023-07-27,88.06,Books
349,2023-05-20,231.72,Home & Garden
350,2023-01-05,470.58,Clothing
351,2023-12-15,308.76,Electronics
352,2023-10-10,283.92,Clothing
353,2023-03-16,107.18,Groceries
354,2023-11-05,194.91,Home & Garden
355,2023-08-08,364.91,Groceries
356,2023-11-04,129.93,Groceries
357,2023-08-16,275.2,Electronics
358,2023-12-28,270.19,Groceries
359,2023-10-02,136.14,Books
360,2023-10-18,257.39,Home & Garden
361,2023-02-21,50.28,Books
362,2023-06-08,84.7,Home & Garden
363,2023-11-11,264.3,Electronics
364,2023-11-08,441.61,Home & Garden
365,2023-10-02,59.01,Groceries
366,2023-12-10,405.7,Groceries
367,2023-11-23,180.49,Groceries
368,2023-02-23,466.84,Groceries
369,2023-11-01,468.07,Electronics
370,2023-04-05,152.0,Home & Garden
371,2023-03-01,85.26,Groceries
372,2023-12-03,250.87,Home & Garden
373,2023-06-04,146.61,Groceries
374,2023-05-05,70.89,Electronics
375,2023-06-13,325.8,Clothing
376,2023-02-28,200.15,Books
377,2023-04-17,275.98,Clothing
378,2023-07-21,217.05,Electronics
379,2023-10-28,439.65,Home & Garden
380,2023-09-27,387.45,Groceries
381,2023-11-23,388.95,Home & Garden
382,2023-02-08,160.75,Groceries
383,2023-06-17,95.9,Groceries
384,2023-05-17,104.33,Books
385,2023-01-14,292.59,Home & Garden
386,2023-07-28,415.03,Clothing
387,2023-01-23,450.08,Home & Garden
388,2023-12-02,196.72,Clothing
389,2023-09-22,254.62,Electronics
390,2023-08-16,69.36,Clothing
391,2023-09-20,93.16,Books
392,2023-07-29,306.24,Electronics
393,2023-03-02,414.86,Books
394,2023-02-26,281.2,Books
395,2023-08-26,341.18,Clothing
396,2023-06-01,384.47,Home & Garden
397,2023-10-08,423.63,Clothing
398,2023-01-05,274.15,Books
399,2023-04-11,177.42,Clothing
400,2023-11-02,109.77,Home & Garden
401,2023-12-10,366.89,Books
402,2023-01-31,395.21,Clothing
403,2023-02-24,196.23,Home & Garden
404,2023-06-03,231.13,Clothing
405,2023-10-04,359.94,Clothing
406,2023-12-20,453.84,Books
407,2023-12-24,333.0,Books
408,2023-07-05,452.58,Electronics
409,2023-01-30,447.35,Electronics
410,2023-11-06,381.13,Clothing
411,2023-04-30,313.72,Electronics
412,2023-12-09,160.03,Groceries
413,2023-01-08,82.86,Clothing
414,2023-04-16,191.58,Home & Garden
415,2023-05-18,436.31,Clothing
416,2023-07-02,339.32,Home & Garden
417,2023-12-06,248.05,Clothing
418,2023-07-29,385.51,Home & Garden
419,2023-05-29,351.64,Electronics
420,2023-09-17,408.43,Electronics
421,2023-05-07,467.16,Books
422,2023-10-26,243.66,Groceries
423,2023-03-07,440.72,Electronics
424,2023-01-21,51.62,Books
425,2023-10-20,369.12,Electronics
426,2023-11-21,222.84,Home & Garden
427,2023-04-23,311.84,Clothing
428,2023-05-19,270.95,Clothing
429,2023-08-26,316.58,Home & Garden
430,2023-12-27,324.15,Electronics
431,2023-12-14,175.83,Electronics
432,2023-02-13,174.95,Clothing
433,2023-03-05,107.39,Books
434,2023-09-23,307.92,Clothing
435,2023-04-02,76.67,Home & Garden
436,2023-04-22,481.53,Home & Garden
437,2023-12-06,190.22,Books
438,2023-11-29,130.79,Electronics
439,2023-10-02,241.0,Books
440,2023-11-27,363.12,Electronics
441,2023-08-15,78.27,Books
442,2023-08-14,139.83,Groceries
443,2023-05-12,356.07,Groceries
444,2023-08-17,436.92,Clothing
445,2023-11-11,212.97,Clothing
446,2023-05-09,129.88,Books
447,2023-10-23,234.47,Groceries
448,2023-01-25,131.09,Home & Garden
449,2023-07-06,487.14,Home & Garden
450,2023-10-20,222.04,Groceries
451,2023-12-22,298.01,Groceries
452,2023-11-22,144.32,Groceries
453,2023-05-15,458.6,Home & Garden
454,2023-01-04,280.69,Books
455,2023-08-15,315.18,Clothing
456,2023-06-18,449.46,Home & Garden
457,2023-10-12,124.84,Home & Garden
458,2023-11-21,121.68,Electronics
459,2023-01-27,82.35,Home & Garden
460,2023-08-13,470.46,Groceries
461,2023-09-06,225.77,Clothing
462,2023-07-21,183.13,Books
463,2023-07-17,165.44,Clothing
464,2023-05-16,439.93,Home & Garden
465,2023-05-06,491.26,Electronics
466,2023-04-05,349.54,Clothing
467,2023-03-14,410.38,Home & Garden
468,2023-09-04,334.95,Home & Garden
469,2023-12-07,243.63,Home & Garden
470,2023-05-16,379.29,Electronics
471,2023-07-15,440.88,Home & Garden
472,2023-08-02,312.32,Clothing
473,2023-04-19,378.27,Electronics
474,2023-11-20,378.49,Clothing
475,2023-04-13,78.82,Books
476,2023-12-07,349.4,Groceries
477,2023-11-24,355.93,Books
478,2023-03-25,293.63,Groceries
479,2023-08-12,186.05,Books
480,2023-09-14,180.68,Electronics
481,2023-05-14,320.77,Groceries
482,2023-12-14,429.04,Electronics
483,2023-04-18,169.5,Groceries
484,2023-01-08,393.73,Clothing
485,2023-05-30,274.8,Electronics
486,2023-06-21,210.93,Books
487,2023-02-16,392.17,Clothing
488,2023-01-01,276.65,Books
489,2023-12-27,478.05,Clothing
490,2023-06-29,292.04,Groceries
491,2023-02-08,149.86,Groceries
492,2023-03-31,114.46,Electronics
493,2023-03-16,84.3,Home & Garden
494,2023-08-15,250.17,Books
495,2023-05-04,336.65,Books
496,2023-12-10,183.4,Electronics
497,2023-04-07,173.66,Books
498,2023-12-06,402.4,Books
499,2023-10-10,491.24,Groceries
500,2023-07-26,277.57,Books
501,2023-02-02,480.31,Home & Garden
502,2023-04-26,79.06,Electronics
503,2023-12-20,302.69,Home & Garden
504,2023-11-12,457.07,Electronics
505,2023-11-10,278.88,Home & Garden
506,2023-06-28,275.08,Electronics
507,2023-06-23,310.88,Books
508,2023-08-22,220.33,Books
509,2023-05-13,283.64,Home & Garden
510,2023-04-04,113.08,Home & Garden
511,2023-12-14,377.5,Books
512,2023-07-14,57.39,Groceries
513,2023-07-05,147.41,Books
514,2023-06-14,476.48,Home & Garden
515,2023-12-28,254.26,Books
516,2023-07-10,307.43,Books
517,2023-01-05,385.04,Books
518,2023-07-25,115.43,Electronics
519,2023-12-10,496.85,Electronics
520,2023-08-15,239.99,Clothing
521,2023-03-15,50.01,Home & Garden
522,2023-08-07,407.78,Clothing
523,2023-01-27,85.66,Groceries
524,2023-01-23,261.95,Groceries
525,2023-07-27,155.42,Clothing
526,2023-12-21,124.56,Clothing
527,2023-04-01,148.15,Clothing
528,2023-02-21,351.56,Groceries
529,2023-10-30,316.79,Clothing
530,2023-07-28,79.22,Groceries
531,2023-03-03,379.85,Electronics
532,2023-10-31,293.9,Groceries
533,2023-04-15,89.47,Electronics
534,2023-05-09,234.75,Home & Garden
535,2023-11-24,349.92,Electronics
536,2023-04-05,135.98,Clothing
537,2023-01-07,355.61,Groceries
538,2023-06-23,169.72,Electronics
539,2023-09-03,393.92,Groceries
540,2023-01-16,63.58,Books
541,2023-06-19,324.71,Electronics
542,2023-06-16,487.15,Clothing
543,2023-11-06,129.13,Groceries
544,2023-03-24,450.84,Electronics
545,2023-08-09,323.17,Clothing
546,2023-11-18,317.34,Groceries
547,2023-06-19,342.13,Books
548,2023-11-19,496.59,Groceries
549,2023-04-25,89.72,Books
550,2023-12-15,123.61,Clothing
551,2023-12-01,325.71,Groceries
552,2023-08-18,414.65,Clothing
553,2023-08-08,68.75,Electronics
554,2023-09-04,449.65,Clothing
555,2023-04-11,120.31,Electronics
556,2023-08-10,301.71,Home & Garden
557,2023-06-28,395.01,Clothing
558,2023-06-24,348.61,Groceries
559,2023-04-04,393.21,Books
560,2023-04-25,181.93,Clothing
561,2023-06-11,437.02,Clothing
562,2023-09-26,165.88,Electronics
563,2023-08-13,371.02,Groceries
564,2023-08-22,98.04,Clothing
565,2023-12-03,470.01,Electronics
566,2023-03-08,176.6,Groceries
567,2023-05-06,107.59,Electronics
568,2023-05-19,106.53,Groceries
569,2023-04-23,405.66,Books
570,2023-08-07,402.22,Groceries
571,2023-06-05,352.79,Groceries
572,2023-07-04,490.06,Clothing
573,2023-05-01,487.16,Clothing
574,2023-11-18,376.5,Books
575,2023-07-17,428.4,Books
576,2023-12-11,399.37,Electronics
577,2023-10-18,84.76,Clothing
578,2023-01-04,334.12,Home & Garden
579,2023-07-08,236.27,Groceries
580,2023-08-27,270.12,Groceries
581,2023-06-15,149.66,Books
582,2023-06-21,63.26,Clothing
583,2023-07-31,454.55,Clothing
584,2023-12-11,465.26,Clothing
585,2023-03-12,383.54,Electronics
586,2023-05-29,384.62,Books
587,2023-10-12,425.24,Clothing
588,2023-04-26,190.33,Groceries
589,2023-11-19,419.04,Electronics
590,2023-04-03,354.5,Groceries
591,2023-04-13,404.42,Home & Garden
592,2023-12-24,434.12,Home & Garden
593,2023-07-17,450.62,Electronics
594,2023-04-20,59.5,Home & Garden
595,2023-11-26,257.82,Electronics
596,2023-04-11,477.0,Home & Garden
597,2023-07-02,309.61,Groceries
598,2023-11-30,372.19,Home & Garden
599,2023-06-09,200.66,Groceries
600,2023-03-23,91.74,Books
601,2023-02-05,309.51,Electronics
602,2023-08-26,242.41,Books
603,2023-09-01,61.29,Clothing
604,2023-09-08,93.1,Home & Garden
605,2023-09-12,258.33,Home & Garden
606,2023-10-09,274.65,Electronics
607,2023-01-22,273.51,Groceries
608,2023-08-18,182.8,Electronics
609,2023-06-03,303.91,Books
610,2023-04-30,269.91,Groceries
611,2023-06-15,161.78,Electronics
612,2023-07-18,333.82,Electronics
613,2023-12-13,393.65,Groceries
614,2023-03-16,77.09,Clothing
615,2023-03-20,132.12,Books
616,2023-11-15,369.88,Clothing
617,2023-03-14,230.93,Home & Garden
618,2023-07-19,313.48,Clothing
619,2023-10-29,286.82,Electronics
620,2023-05-14,126.45,Books
621,2023-02-17,323.23,Home & Garden
622,2023-07-07,101.72,Home & Garden
623,2023-06-20,413.15,Groceries
624,2023-05-19,275.52,Electronics
625,2023-08-31,80.4,Clothing
626,2023-11-10,494.06,Electronics
627,2023-12-12,252.7,Clothing
628,2023-05-06,364.95,Clothing
629,2023-07-26,115.29,Groceries
630,2023-12-05,115.15,Books
631,2023-07-17,120.33,Books
632,2023-07-06,118.68,Electronics
633,2023-01-18,112.21,Clothing
634,2023-07-17,493.46,Home & Garden
635,2023-12-17,208.46,Home & Garden
636,2023-06-02,136.31,Groceries
637,2023-05-12,241.05,Books
638,2023-11-22,276.21,Books
639,2023-06-14,257.28,Clothing
640,2023-02-28,255.28,Clothing
641,2023-06-27,374.46,Groceries
642,2023-06-02,353.95,Clothing
643,2023-06-11,197.32,Electronics
644,2023-12-20,132.89,Books
645,2023-08-30,364.73,Electronics
646,2023-05-16,197.12,Books
647,2023-08-24,489.84,Electronics
648,2023-02-16,378.47,Books
649,2023-05-08,223.7,Books
650,2023-12-04,499.93,Home & Garden
651,2023-06-07,110.35,Home & Garden
652,2023-01-13,195.42,Electronics
653,2023-04-29,287.74,Home & Garden
654,2023-10-30,105.84,Groceries
655,2023-10-16,319.87,Groceries
656,2023-10-18,375.37,Books
657,2023-04-26,240.0,Clothing
658,2023-03-29,337.29,Groceries
659,2023-05-05,443.36,Books
660,2023-06-24,481.59,Clothing
661,2023-12-30,237.54,Books
662,2023-02-22,374.73,Clothing
663,2023-04-21,396.4,Groceries
664,2023-03-06,368.31,Books
665,2023-11-29,290.57,Home & Garden
666,2023-03-15,127.31,Clothing
667,2023-05-27,171.1,Home & Garden
668,2023-09-18,317.66,Clothing
669,2023-09-21,216.7,Books
670,2023-05-12,464.89,Clothing
671,2023-02-18,124.88,Groceries
672,2023-03-18,181.76,Groceries
673,2023-10-21,88.65,Home & Garden
674,2023-04-27,304.92,Electronics
675,2023-02-18,165.36,Home & Garden
676,2023-04-20,462.45,Home & Garden
677,2023-06-29,209.22,Electronics
678,2023-02-19,168.33,Books
679,2023-03-13,447.1,Clothing
680,2023-12-13,211.53,Groceries
681,2023-10-13,128.2,Home & Garden
682,2023-01-04,470.76,Books
683,2023-03-16,52.81,Groceries
684,2023-03-26,401.86,Electronics
685,2023-11-18,495.51,Books
686,2023-01-21,124.07,Home & Garden
687,2023-07-28,187.32,Books
688,2023-02-12,306.43,Groceries
689,2023-01-29,192.23,Books
690,2023-12-10,294.43,Electronics
691,2023-06-30,456.67,Clothing
692,2023-11-01,175.9,Books
693,2023-04-13,399.75,Groceries
694,2023-09-23,306.12,Groceries
695,2023-09-16,474.8,Electronics
696,2023-12-31,226.59,Books
697,2023-08-22,482.74,Electronics
698,2023-12-12,483.39,Electronics
699,2023-04-11,409.77,Electronics
700,2023-04-01,93.6,Clothing
701,2023-03-10,156.74,Home & Garden
702,2023-04-16,77.13,Clothing
703,2023-01-11,136.98,Electronics
704,2023-01-13,221.24,Groceries
705,2023-04-15,322.89,Books
706,2023-08-14,223.48,Clothing
707,2023-06-17,235.58,Electronics
708,2023-10-17,230.01,Electronics
709,2023-04-10,80.61,Groceries
710,2023-08-06,443.81,Electronics
711,2023-11-03,346.76,Groceries
712,2023-12-11,201.15,Groceries
713,2023-07-30,319.96,Home & Garden
714,2023-10-04,286.91,Books
715,2023-08-11,220.72,Books
716,2023-06-06,112.31,Clothing
717,2023-03-14,397.72,Clothing
718,2023-10-02,83.68,Books
719,2023-02-09,137.39,Clothing
720,2023-08-23,79.11,Books
721,2023-05-04,177.63,Groceries
722,2023-10-12,390.17,Groceries
723,2023-06-02,476.44,Groceries
724,2023-05-27,452.8,Electronics
725,2023-07-15,291.26,Clothing
726,2023-06-22,275.36,Home & Garden
727,2023-07-31,494.13,Electronics
728,2023-10-29,276.96,Electronics
729,2023-11-07,388.57,Clothing
730,2023-01-01,477.23,Electronics
731,2023-05-19,52.9,Groceries
732,2023-07-15,82.31,Groceries
733,2023-08-08,286.03,Clothing
734,2023-12-22,51.92,Groceries
735,2023-06-12,343.69,Books
736,2023-02-20,448.44,Groceries
737,2023-08-31,464.53,Books
738,2023-12-25,55.87,Electronics
739,2023-01-21,446.56,Books
740,2023-06-21,356.33,Books
741,2023-04-29,384.03,Home & Garden
742,2023-05-09,298.85,Electronics
743,2023-04-16,141.85,Books
744,2023-07-14,359.8,Books
745,2023-08-14,201.51,Groceries
746,2023-05-21,314.61,Books
747,2023-09-29,206.76,Groceries
748,2023-04-29,294.39,Electronics
749,2023-02-03,105.21,Electronics
750,2023-06-01,78.68,Electronics
751,2023-02-08,74.36,Books
752,2023-09-15,491.03,Home & Garden
753,2023-09-24,379.62,Electronics
754,2023-01-07,462.16,Groceries
755,2023-09-20,191.33,Home & Garden
756,2023-04-13,301.01,Books
757,2023-11-28,288.42,Electronics
758,2023-12-08,87.84,Clothing
759,2023-06-28,135.48,Groceries
760,2023-11-04,324.95,Electronics
761,2023-09-16,326.0,Books
762,2023-11-29,208.81,Clothing
763,2023-06-07,495.4,Books
764,2023-01-10,308.23,Books
765,2023-04-26,346.49,Clothing
766,2023-04-27,424.36,Home & Garden
767,2023-07-01,240.63,Electronics
768,2023-08-24,163.28,Electronics
769,2023-07-13,250.37,Books
770,2023-10-27,249.02,Electronics
771,2023-03-21,288.97,Home & Garden
772,2023-03-04,260.29,Groceries
773,2023-11-29,373.01,Clothing
774,2023-02-17,336.2,Books
775,2023-03-18,111.97,Electronics
776,2023-05-30,149.41,Clothing
777,2023-05-01,378.6,Groceries
